GlobalId,Name,Tag
2dceTU_kX4NwtAP9G767pO,Связь горизонтальная СГ-1,СГ-1
3QnYuu6az7ve6_bdZ6jgnV,Колонна К-1,К-1
1Txmz615D4VgijLmXg9OCE,Балка Б-2,Б-2
07BobWgfD6xOXRl_cu__i$,Балка Б-2,Б-2
2PlFsUfVb9DfnEtITCoPCX,Балка Б-2,Б-2
3ILZr12C1Fowlq49sAmF4T,Связь по колоннам СК-1,СК-1
0ZpXshZ_XBPRySpmZFbPU$,Балка Б-1,Б-1
0caA2v5nP8Avyrk6C9msBI,Связь по колоннам СК-1,СК-1
0V9qrUL1v7TPj$ExtzLyuQ,Связь по колоннам СК-1,СК-1
17oxL7CM1CdAzPRPNgqWjJ,Балка Б-2,Б-2
2dc0GN8gvAVhgKJKj6JzCz,Распорка Р-1,Р-1
1q8VzwJprF$fs7YiWMTioO,Колонна К-1,К-1
1LiSaymmDAEBr9yk0jcYDs,Связь по колоннам СК-1,СК-1
1agPJ4NDrCbvfOWlZm_Wlf,Балка Б-1,Б-1
2JCgdAm411ZwGWXQlJ1LkI,Балка Б-1,Б-1
1Yn4UP$0v7IgGPgtPehaw_,Связь горизонтальная СГ-1,СГ-1
0v2NwwrdvAB86S$qs$hDUN,Балка Б-2,Б-2
2NpgisWQjEBgMny291vmON,Балка Б-2,Б-2
3YqeBdKwX7Dvq8xsTenpmM,Балка Б-2,Б-2
1PCMnrCdvBrf39e8RUHsg8,Распорка Р-1,Р-1
23wKTC7knEHwZeP_UnzIW2,Балка Б-2,Б-2
0Tz26HZWT5TvU31mThIYTL,Связь горизонтальная СГ-1,СГ-1
0NQCMfycP5TBHHVHy2HjPg,Колонна К-1,К-1
0YyiDjKgDA2P6VlekAER32,Колонна К-1,К-1
2_XwNPcsnA1B3VlP6mIHDi,Балка Б-2,Б-2
3_5kI87ED4M8enLs4$gMyl,Распорка Р-1,Р-1
3r3O5$BZ57phF8IXOqZvuI,Балка Б-1,Б-1
2NCrRG5xP6f86s$LhBAz78,Колонна К-1,К-1
3Of8pWTVr6_fgRZNUyFxxq,Связь по колоннам СК-1,СК-1
15eKxF$y9DnOLt8teKQ5ko,Балка Б-2,Б-2
1GeEJDxBPE$9HKW99avAEy,Распорка Р-1,Р-1
2s5rY_s1z4Vud8MXene_P6,Балка Б-2,Б-2
1kQ0xQC3j5ogJXsfN5vsM3,Распорка Р-1,Р-1
3IjA8x6vr4sQVL6R_GZsl5,Балка Б-2,Б-2
1ryp3xG3PDHBgEzghZImqV,Балка Б-1,Б-1
0BTZesSyX81BgeX2eS0mJY,Балка Б-2,Б-2
0BaBhcsbjAEf0dnQ8dDW$C,Балка Б-2,Б-2
3JUh1woLLAUffWhTHhHIyM,Балка Б-2,Б-2
3hab6Dv2XBcwr6wrFshhkW,Балка Б-2,Б-2
31jAVMQaD2MRMKEvCHvIku,Распорка Р-1,Р-1
3c9YmePKXDeQl3SuyL1tA1,Колонна К-1,К-1
169RH_VDT0Quro5zPegcHe,Балка Б-2,Б-2
0YZ6sdiHjBx8vnvokvjVEh,Колонна К-1,К-1
3z9ShRdjP5zf_zoLmpzvyy,Распорка Р-1,Р-1
0VgP5dqgn9h8RyElAeJ5Il,Балка Б-2,Б-2
3wAg8d1u540ua7HKVCcNZR,Балка Б-2,Б-2
2BZZj2JwH0_usHtBABIznr,Колонна К-1,К-1
1RpwMo3CXDwwhwPQbIsXm7,Колонна К-1,К-1
